I,II,V1,V2,V3,V4,V5,V6,status,x
0,4,2,3,2,2,4,-2,0,1
0,4,2,3,2,2,4,-2,0,2
0,4,1,2,1,2,4,-2,0,3
0,3,1,2,1,1,4,-3,0,4
0,3,1,2,1,1,3,-3,0,5
0,2,1,2,0,1,3,-3,0,6
1,2,1,2,0,1,3,-3,0,7
1,1,1,2,0,1,4,-3,0,8
1,1,1,2,0,1,4,-2,0,9
1,1,1,2,1,2,5,-2,0,10
2,1,1,3,2,4,7,-1,0,11
3,2,1,4,3,6,9,0,0,12
4,4,2,5,6,9,12,1,0,13
6,6,2,7,9,13,16,3,0,14
8,10,3,10,14,17,20,6,0,15
11,14,4,12,19,23,26,9,0,16
15,19,6,16,26,30,32,14,0,17
20,26,8,21,33,37,39,18,0,18
25,33,11,26,42,45,46,24,0,19
31,41,14,33,49,53,55,30,0,20
37,50,18,39,59,62,63,36,0,21
45,60,21,47,69,72,72,43,0,22
53,70,25,54,78,81,82,51,0,23
61,81,29,62,88,90,91,58,0,24
69,92,33,69,97,99,99,66,0,25
77,103,37,77,106,107,108,74,0,26
85,114,40,84,114,115,115,81,0,27
93,124,44,90,121,122,122,88,0,28
100,133,47,96,127,128,128,94,0,29
106,141,49,102,132,133,133,99,0,30
111,148,52,106,136,137,138,104,0,31
116,154,53,110,140,140,141,107,0,32
120,159,55,112,142,143,143,110,0,33
122,162,55,114,144,144,145,112,0,34
124,164,55,115,145,145,146,112,0,35
124,165,55,114,145,145,145,112,0,36
123,164,54,113,144,144,144,111,0,37
122,162,52,111,142,142,142,109,0,38
119,158,50,108,140,139,140,106,0,39
115,153,48,103,136,135,136,102,0,40
110,147,45,98,132,130,131,97,0,41
104,139,42,93,127,125,126,92,0,42
97,131,38,86,121,118,120,86,0,43
90,121,35,79,115,111,113,79,0,44
82,111,31,72,107,103,105,72,0,45
74,100,27,64,99,94,97,65,0,46
66,89,23,56,91,85,88,58,0,47
58,78,20,49,82,76,79,50,0,48
50,67,16,41,72,67,69,43,0,49
42,57,13,34,63,57,60,36,0,50
35,47,10,27,54,48,50,30,0,51
28,38,7,21,46,41,43,23,0,52
23,30,5,16,38,33,34,18,0,53
17,23,3,11,30,26,27,13,0,54
13,16,2,8,23,19,20,8,0,55
9,11,1,5,17,14,15,5,0,56
6,7,0,3,12,9,10,2,0,57
4,3,-1,1,8,6,6,-1,0,58
2,1,-1,0,5,3,3,-2,0,59
1,-1,-2,0,3,1,1,-3,0,60
0,-2,-2,-1,1,0,0,-3,0,61
0,-2,-2,-1,0,0,0,-3,0,62
0,-2,-1,-1,0,0,-1,-3,0,63
0,-2,-1,-1,0,0,-1,-2,0,64
0,-1,-1,0,0,0,0,-2,0,65
0,-1,-1,0,0,0,0,-1,0,66
0,0,-1,0,0,1,0,0,0,67
0,1,-1,0,0,1,1,0,0,68
0,1,-1,0,0,1,2,1,0,69
0,2,0,0,1,1,2,1,0,70
0,2,0,0,1,2,3,2,0,71
0,2,0,0,1,2,3,2,0,72
0,3,0,0,2,2,4,2,0,73
0,3,0,0,2,2,4,2,0,74
1,4,0,0,3,3,4,2,0,75
1,4,0,1,3,3,5,3,0,76
2,4,0,1,4,4,5,3,0,77
2,5,-1,1,4,5,6,3,0,78
3,6,-1,1,5,6,6,3,0,79
4,6,-1,1,6,6,7,4,0,80
5,7,-1,2,6,7,7,4,0,81
6,8,-2,2,6,8,8,5,0,82
6,8,-2,1,6,8,8,5,0,83
7,9,-3,1,5,7,8,5,0,84
7,8,-4,0,2,6,7,4,0,85
7,8,-5,-1,0,4,6,3,0,86
6,6,-6,-3,-5,0,3,1,0,87
5,4,-7,-6,-11,-6,0,-2,0,88
2,0,-8,-9,-19,-12,-5,-6,0,89
-1,-5,-8,-12,-27,-20,-12,-12,0,90
-6,-11,-8,-15,-35,-29,-21,-18,0,91
-11,-19,-6,-17,-42,-39,-30,-26,0,92
-17,-27,-4,-17,-47,-47,-39,-34,0,93
-24,-35,1,-16,-49,-54,-48,-43,0,94
-30,-43,7,-12,-46,-57,-56,-50,0,95
-36,-50,16,-4,-37,-55,-61,-55,0,96
-41,-54,27,7,-19,-47,-62,-57,0,97
-43,-54,41,23,7,-30,-56,-55,0,98
-42,-49,57,45,44,-3,-44,-47,0,99
-37,-38,75,72,90,34,-23,-32,0,100
